  [Epoch  72] Loss: 22.29532, Time: 18.10 s, Psuedo-Acc: 21.88%
  [Epoch  73] Loss: 22.29926, Time: 18.34 s, Psuedo-Acc: 21.32%
  [Epoch  74] Loss: 22.28587, Time: 18.59 s, Psuedo-Acc: 21.28%
  [Epoch  75] Loss: 22.26843, Time: 18.83 s, Psuedo-Acc: 21.04%
  [Epoch  76] Loss: 22.26783, Time: 19.08 s, Psuedo-Acc: 21.91%
  [Epoch  77] Loss: 22.25693, Time: 19.32 s, Psuedo-Acc: 22.15%
  [Epoch  78] Loss: 22.25413, Time: 19.56 s, Psuedo-Acc: 21.18%
  [Epoch  79] Loss: 22.25570, Time: 19.80 s, Psuedo-Acc: 21.49%
  [Epoch  80] Loss: 22.24158, Time: 20.05 s, Psuedo-Acc: 21.88%
  [Epoch  81] Loss: 22.23987, Time: 20.29 s, Psuedo-Acc: 21.01%
  [Epoch  82] Loss: 22.22953, Time: 20.54 s, Psuedo-Acc: 21.81%
  [Epoch  83] Loss: 22.21355, Time: 20.78 s, Psuedo-Acc: 21.98%
  [Epoch  84] Loss: 22.21687, Time: 21.02 s, Psuedo-Acc: 22.08%
  [Epoch  85] Loss: 22.19231, Time: 21.27 s, Psuedo-Acc: 21.46%
  [Epoch  86] Loss: 22.20626, Time: 21.51 s, Psuedo-Acc: 22.29%
  [Epoch  87] Loss: 22.19188, Time: 21.75 s, Psuedo-Acc: 22.08%
  [Epoch  88] Loss: 22.19241, Time: 22.00 s, Psuedo-Acc: 20.97%
  [Epoch  89] Loss: 22.16621, Time: 22.24 s, Psuedo-Acc: 22.01%
  [Epoch  90] Loss: 22.18744, Time: 22.49 s, Psuedo-Acc: 21.84%
  [Epoch  91] Loss: 22.19042, Time: 22.73 s, Psuedo-Acc: 22.12%
  [Epoch  92] Loss: 22.17672, Time: 22.97 s, Psuedo-Acc: 22.08%
  [Epoch  93] Loss: 22.17037, Time: 23.21 s, Psuedo-Acc: 22.92%
  [Epoch  94] Loss: 22.16249, Time: 23.46 s, Psuedo-Acc: 21.98%
  [Epoch  95] Loss: 22.13972, Time: 23.70 s, Psuedo-Acc: 22.36%
  [Epoch  96] Loss: 22.16522, Time: 23.95 s, Psuedo-Acc: 21.84%
  [Epoch  97] Loss: 22.15392, Time: 24.19 s, Psuedo-Acc: 22.64%
  [Epoch  98] Loss: 22.14928, Time: 24.43 s, Psuedo-Acc: 22.74%
  [Epoch  99] Loss: 22.15884, Time: 24.68 s, Psuedo-Acc: 22.19%
  [Epoch 100] Loss: 22.14370, Time: 24.92 s, Psuedo-Acc: 22.15%
  [Epoch 101] Loss: 22.13389, Time: 25.16 s, Psuedo-Acc: 21.63%
  [Epoch 102] Loss: 22.14069, Time: 25.41 s, Psuedo-Acc: 21.74%
  [Epoch 103] Loss: 22.11766, Time: 25.65 s, Psuedo-Acc: 22.36%
  [Epoch 104] Loss: 22.12342, Time: 25.89 s, Psuedo-Acc: 22.15%
  [Epoch 105] Loss: 22.08781, Time: 26.14 s, Psuedo-Acc: 21.53%
  [Epoch 106] Loss: 22.09571, Time: 26.38 s, Psuedo-Acc: 22.50%
  [Epoch 107] Loss: 22.09480, Time: 26.63 s, Psuedo-Acc: 22.71%
  [Epoch 108] Loss: 22.09243, Time: 26.87 s, Psuedo-Acc: 22.26%
  [Epoch 109] Loss: 22.09576, Time: 27.11 s, Psuedo-Acc: 22.50%
  [Epoch 110] Loss: 22.08620, Time: 27.36 s, Psuedo-Acc: 23.02%
  [Epoch 111] Loss: 22.09344, Time: 27.60 s, Psuedo-Acc: 22.92%
  [Epoch 112] Loss: 22.07913, Time: 27.84 s, Psuedo-Acc: 23.47%
  [Epoch 113] Loss: 22.05791, Time: 28.09 s, Psuedo-Acc: 21.63%
  [Epoch 114] Loss: 22.07691, Time: 28.33 s, Psuedo-Acc: 22.36%
  [Epoch 115] Loss: 22.08111, Time: 28.57 s, Psuedo-Acc: 23.09%
  [Epoch 116] Loss: 22.05016, Time: 28.82 s, Psuedo-Acc: 22.22%
  [Epoch 117] Loss: 22.08167, Time: 29.06 s, Psuedo-Acc: 22.22%
  [Epoch 118] Loss: 22.06767, Time: 29.30 s, Psuedo-Acc: 21.98%
  [Epoch 119] Loss: 22.04528, Time: 29.55 s, Psuedo-Acc: 23.37%
  [Epoch 120] Loss: 22.07589, Time: 29.79 s, Psuedo-Acc: 22.74%
  [Epoch 121] Loss: 22.06060, Time: 30.03 s, Psuedo-Acc: 24.06%
  [Epoch 122] Loss: 22.03125, Time: 30.28 s, Psuedo-Acc: 22.85%
  [Epoch 123] Loss: 22.05331, Time: 30.52 s, Psuedo-Acc: 23.09%
  [Epoch 124] Loss: 22.02367, Time: 30.77 s, Psuedo-Acc: 24.17%
  [Epoch 125] Loss: 22.00815, Time: 31.01 s, Psuedo-Acc: 22.33%
  [Epoch 126] Loss: 22.04141, Time: 31.25 s, Psuedo-Acc: 23.30%
  [Epoch 127] Loss: 22.01383, Time: 31.49 s, Psuedo-Acc: 22.71%
  [Epoch 128] Loss: 22.01000, Time: 31.74 s, Psuedo-Acc: 23.61%
  [Epoch 129] Loss: 22.01802, Time: 31.98 s, Psuedo-Acc: 22.95%
  [Epoch 130] Loss: 22.00836, Time: 32.22 s, Psuedo-Acc: 23.02%
  [Epoch 131] Loss: 22.00280, Time: 32.47 s, Psuedo-Acc: 23.19%
  [Epoch 132] Loss: 22.02087, Time: 32.71 s, Psuedo-Acc: 22.47%
  [Epoch 133] Loss: 21.99053, Time: 32.96 s, Psuedo-Acc: 23.99%
  [Epoch 134] Loss: 21.98943, Time: 33.20 s, Psuedo-Acc: 22.95%
  [Epoch 135] Loss: 21.98890, Time: 33.44 s, Psuedo-Acc: 24.24%
  [Epoch 136] Loss: 21.98650, Time: 33.69 s, Psuedo-Acc: 22.88%
  [Epoch 137] Loss: 21.98500, Time: 33.93 s, Psuedo-Acc: 24.10%
  [Epoch 138] Loss: 21.99129, Time: 34.17 s, Psuedo-Acc: 23.33%
  [Epoch 139] Loss: 21.97350, Time: 34.42 s, Psuedo-Acc: 24.31%
  [Epoch 140] Loss: 21.97330, Time: 34.66 s, Psuedo-Acc: 22.95%
  [Epoch 141] Loss: 21.97875, Time: 34.90 s, Psuedo-Acc: 24.10%
  [Epoch 142] Loss: 21.96021, Time: 35.14 s, Psuedo-Acc: 23.75%
  [Epoch 143] Loss: 21.96905, Time: 35.39 s, Psuedo-Acc: 23.82%
  [Epoch 144] Loss: 21.95296, Time: 35.63 s, Psuedo-Acc: 23.54%
  [Epoch 145] Loss: 21.95462, Time: 35.87 s, Psuedo-Acc: 23.16%
  [Epoch 146] Loss: 21.97407, Time: 36.12 s, Psuedo-Acc: 23.92%
  [Epoch 147] Loss: 21.96200, Time: 36.36 s, Psuedo-Acc: 23.30%
  [Epoch 148] Loss: 21.94764, Time: 36.61 s, Psuedo-Acc: 23.92%
  [Epoch 149] Loss: 21.93648, Time: 36.85 s, Psuedo-Acc: 23.54%
  [Epoch 150] Loss: 21.96289, Time: 37.09 s, Psuedo-Acc: 23.89%
  [Epoch 151] Loss: 21.94435, Time: 37.34 s, Psuedo-Acc: 23.75%
  [Epoch 152] Loss: 21.92906, Time: 37.58 s, Psuedo-Acc: 23.85%
  [Epoch 153] Loss: 21.95308, Time: 37.82 s, Psuedo-Acc: 24.03%
  [Epoch 154] Loss: 21.93104, Time: 38.07 s, Psuedo-Acc: 23.19%
  [Epoch 155] Loss: 21.94462, Time: 38.31 s, Psuedo-Acc: 24.03%
  [Epoch 156] Loss: 21.93718, Time: 38.55 s, Psuedo-Acc: 23.85%
  [Epoch 157] Loss: 21.91885, Time: 38.80 s, Psuedo-Acc: 24.03%
  [Epoch 158] Loss: 21.93577, Time: 39.04 s, Psuedo-Acc: 24.06%
  [Epoch 159] Loss: 21.93601, Time: 39.29 s, Psuedo-Acc: 24.13%
  [Epoch 160] Loss: 21.91023, Time: 39.53 s, Psuedo-Acc: 23.78%
  [Epoch 161] Loss: 21.90128, Time: 39.77 s, Psuedo-Acc: 23.89%
  [Epoch 162] Loss: 21.90206, Time: 40.02 s, Psuedo-Acc: 24.17%
  [Epoch 163] Loss: 21.91089, Time: 40.26 s, Psuedo-Acc: 23.12%
  [Epoch 164] Loss: 21.91467, Time: 40.50 s, Psuedo-Acc: 24.34%
  [Epoch 165] Loss: 21.90320, Time: 40.75 s, Psuedo-Acc: 24.69%
  [Epoch 166] Loss: 21.89354, Time: 40.99 s, Psuedo-Acc: 25.03%
  [Epoch 167] Loss: 21.89271, Time: 41.23 s, Psuedo-Acc: 24.44%
  [Epoch 168] Loss: 21.89305, Time: 41.48 s, Psuedo-Acc: 24.51%
  [Epoch 169] Loss: 21.90888, Time: 41.72 s, Psuedo-Acc: 24.20%
  [Epoch 170] Loss: 21.91538, Time: 41.96 s, Psuedo-Acc: 23.99%
  [Epoch 171] Loss: 21.88071, Time: 42.21 s, Psuedo-Acc: 23.33%
  [Epoch 172] Loss: 21.89092, Time: 42.45 s, Psuedo-Acc: 24.10%
  [Epoch 173] Loss: 21.91752, Time: 42.70 s, Psuedo-Acc: 24.27%
  [Epoch 174] Loss: 21.88714, Time: 42.94 s, Psuedo-Acc: 25.66%
  [Epoch 175] Loss: 21.89425, Time: 43.18 s, Psuedo-Acc: 24.69%
  [Epoch 176] Loss: 21.88786, Time: 43.42 s, Psuedo-Acc: 25.28%
  [Epoch 177] Loss: 21.87040, Time: 43.67 s, Psuedo-Acc: 25.03%
  [Epoch 178] Loss: 21.88903, Time: 43.91 s, Psuedo-Acc: 24.51%
  [Epoch 179] Loss: 21.91525, Time: 44.15 s, Psuedo-Acc: 23.89%
  [Epoch 180] Loss: 21.87864, Time: 44.40 s, Psuedo-Acc: 24.51%
  [Epoch 181] Loss: 21.88769, Time: 44.64 s, Psuedo-Acc: 24.48%
